tíðnisæti MÍNO	lemma	orðflokkur	fjöldi
2587	munnlegur	l	706
2591	þáverandi	l	705
2592	hvatning	n	704
2594	verkfæri	n	702
2595	allmargur	l	701
2598	prenta	s	700
2600	frumkvöðull	n	699
2602	hlutdeild	n	699
2603	rosalega	a	699
2604	samhljóða	l	699
2606	afskaplega	a	698
2610	fjarlægur	l	697
2612	hrinda	s	697
2613	röskun	n	697
2615	búningur	n	695
2616	sársauki	n	695
2617	skapandi	l	695
2618	teymi	n	692
2622	uppspretta	n	689
2623	ítarlega	a	688
2625	fórnarlamb	n	687
2626	þrisvar	a	687
2630	viðtaka	n	686
2633	refsiverður	l	685
2634	staðfestur	l	685
2635	áreiðanlegur	l	684
2636	bólga	n	684
2637	tilnefna	s	684
2638	tímabær	l	684
2639	vanda	s	684
2640	viðunandi	l	684
2643	viðburður	n	683
2645	breytileiki	n	682
2647	rata	s	682
2651	sjálfkrafa	a	679
2653	hlaða	s	678
2655	afmarka	s	677
2656	dreifður	l	677
2657	ferskur	l	677
2659	ólöglegur	l	677
2660	reiða	s	677
2663	færsla	n	675
2664	meginatriði	n	675
2666	skemmd	n	674
2667	strengur	n	674
2668	ágæti	n	673
2669	samruni	n	673
2670	takmark	n	672
2671	glæsilegur	l	671
2675	mælitæki	n	669
2678	rúst	n	668
2681	metnaður	n	667
2686	heildarfjöldi	n	666
2689	aðstoðarmaður	n	664
2691	lakur	l	664
2692	óvís	l	664
2696	endurnýja	s	663
2698	hetja	n	663
2699	fagfólk	n	662
2701	örnefni	n	662
2702	viðvarandi	l	661
2706	venja	s	659
2710	farsæll	l	657
2715	uppgötvun	n	657
2716	fag	n	656
2717	hlýða	s	656
2723	eyðileggja	s	654
2725	hagstæður	l	653
2731	lykilhlutverk	n	650
2732	tímapunktur	n	650
2735	skemmtun	n	647
2736	þjálfa	s	647
2737	hinsvegar	a	646
2739	sérkennilegur	l	646
2740	umbót	n	646
2741	fyrrgreindur	l	645
2744	fámennur	l	644
2745	frammistaða	n	644
2748	lýður	n	644
2750	aðalpersóna	n	643
2752	einangra	s	643
2755	listrænn	l	642
2756	tíðindi	n	642
2757	löngun	n	641
2758	sveigjanleiki	n	641
2761	svipta	s	640
2762	vafalaust	a	640
2763	vandlega	a	640
2765	hnútur	n	639
2766	ótvíræður	l	639
2767	ósammála	l	638
2769	utanaðkomandi	l	638
2773	reglubundinn	l	637
2775	meðlimur	n	636
2778	hverfi	n	635
2779	afkvæmi	n	634
2782	fyrirbyggjandi	l	634
2783	rof	n	634
2784	hollur	l	633
2786	snerting	n	633
2787	græða	s	632
2788	líka	s	632
2791	útskrift	n	632
2793	fyrirliggjandi	l	631
2795	glæpur	n	631
2797	vanalega	a	631
2798	efasemd	n	630
2802	skjótur	l	629
2804	framburður	n	628
2807	endanlega	a	627
2809	framfylgja	s	626
2810	gagnkvæmur	l	626
2811	næmur	l	626
2812	óhjákvæmilegur	l	625
2813	umtalsvert	a	625
2815	næring	n	623
2816	hlé	n	622
2817	ráðstafa	s	622
2818	sigling	n	622
2819	spá	n	622
2820	ríflega	a	621
2823	hefti	n	620
2826	framtíðarsýn	n	619
2829	tiltækur	l	619
2830	vitnisburður	n	619
2831	yfirsýn	n	619
2833	verkun	n	618
2837	lærdómur	n	616
2840	skepna	n	615
2841	vinátta	n	615
2842	áhyggjuefni	n	614
2843	markvisst	a	613
2845	umhyggja	n	613
2846	breidd	n	612
2847	krefjandi	l	612
2848	tímamót	n	612
2849	varðveisla	n	612
2853	samsvarandi	l	610
2854	sannfærður	l	610
2856	glata	s	609
2857	lokun	n	609
2858	veikleiki	n	609
2859	örlítið	a	609
2861	kast	n	608
2862	skiljanlegur	l	608
2864	fordæmi	n	607
2865	hugleiðing	n	607
2866	sorg	n	607
2868	tómur	l	606
2869	hugsjón	n	605
2872	mein	n	605
2874	vænn	l	605
2876	eigin(n)	l	604
2878	frétta	s	603
2881	söfnun	n	603
2882	svörun	n	602
2885	flatur	l	601
2886	trúnaður	n	601
2891	umbreyta	s	600
2893	ótal	n	599
2894	vísun	n	599
2895	einbeita	s	598
2896	skipulegur	l	598
2897	aðhyllast	s	597
2899	samþætting	n	597
2900	trúlega	a	597
2901	virtur	l	597
2902	framlengja	s	596
2903	fyllilega	a	596
2905	leiðbeinandi	n	595
2906	ráðgjafi	n	595
2908	bardagi	n	594
2911	einstaklingsbundinn	l	592
2912	piltur	n	592
2914	þunnur	l	592
2916	staðhæfing	n	591
2918	raska	s	590
2923	vanlíðan	n	588
2925	hættur	l	587
2926	mynstur	n	587
2927	óþarfi	n	587
2928	útilokaður	l	587
2929	afdrif	n	586
2930	klettur	n	586
2931	nátengdur	l	586
2933	viðhafa	s	586
2939	útvega	s	585
2942	einvörðungu	a	584
2945	eilífur	l	583
2946	upptalning	n	583
2948	grænmeti	n	582
2953	lífsstíll	n	580
2954	úrskurða	s	580
2956	sannfæra	s	579
2961	hliðstæða	n	577
2963	hæfilegur	l	577
2966	atferli	n	576
2967	fagmennska	n	576
2968	sparnaður	n	576
2972	huglægur	l	575
2975	hlaup	n	574
2976	skemmta	s	574
2977	flótti	n	573
2979	hagnýtur	l	573
2980	hægja	s	573
2984	óneitanlega	a	572
2985	pláss	n	572
2986	refsa	s	572
2987	vitaskuld	a	572
2989	blettur	n	570
2990	heimsmynd	n	570
2991	hækkandi	l	570
2992	innheimta	s	570
2995	forfaðir	n	569
2997	staldra	s	569
2999	upplýsingagjöf	n	569
3001	blandaður	l	568
3002	göng	n	568
3007	úrgangur	n	567
3009	fyrirbyggja	s	566
3010	hrynja	s	566
3012	meðalstór	l	566
3019	þægilegur	l	565
3021	gagnsemi	n	564
3022	hugrænn	l	564
3024	skömm	n	564
3026	uppfylltur	l	564
3029	útrýma	s	563
3030	dýrmætur	l	562
3032	leigja	s	562
3036	afbrot	n	560
3037	ófullnægjandi	l	560
3040	fang	n	559
3043	geiri	n	558
3044	rúma	s	558
3046	varlega	a	557
3048	táknrænn	l	556
3051	gífurlegur	l	554
3052	gjósa	s	554
3053	misnota	s	554
3055	snið	n	554
3056	viðstaddur	l	554
3057	forgangsraða	s	553
3060	loforð	n	553
3061	skaða	s	553
3063	vegalengd	n	553
3065	höggva	s	552
3066	skrýtinn	l	552
3067	sökkva	s	552
3068	uns	c	552
3070	gruna	s	551
3071	hríð	n	551
3073	óbeint	a	551
3076	töf	n	550
3077	ei	a	549
3080	mismikill	l	548
3081	tilurð	n	548
3082	yfirferð	n	548
3083	hamla	s	547
3086	þekja	s	547
3087	ávísa	s	546
3088	blindur	l	546
3089	hljóðfæri	n	546
3091	lítillega	a	546
3095	áhugasamur	l	545
3097	hentugur	l	545
3098	hinsegin	l	545
3100	kjörinn	l	545
3101	mynt	n	545
3102	viðtekinn	l	544
3103	augnablik	n	543
3104	fyrirsögn	n	543
3105	kvikna	s	543
3108	vídd	n	543
3109	hrósa	s	542
3110	persónuleiki	n	542
3111	samrýma	s	542
3113	óhjákvæmilega	a	541
3116	kær	l	539
3117	lega	n	539
3118	óþægilegur	l	539
3120	kunnátta	n	538
3121	kvörtun	n	538
3122	leiðrétting	n	538
3123	máttur	n	538
3124	nemi	n	538
3125	nægjanlegur	l	538
3126	óvenja	n	538
3128	flétta	s	537
3129	útskýring	n	537
3130	álíka	a	536
3131	búskapur	n	536
3132	endurgreiða	s	536
3133	réttmætur	l	536
3134	eftirtalinn	l	535
3135	fjölbreytileiki	n	535
3140	þungi	n	534
3141	freista	s	533
3146	framkoma	n	531
3151	sérhæfing	n	530
3153	stoltur	l	530
3155	uppsetning	n	530
3156	íhuga	s	529
3159	viðmiðun	n	529
3160	bruni	n	528
3162	partur	n	528
3164	bati	n	527
3167	sjónarhóll	n	527
3168	tekinn	l	527
3169	verknaður	n	527
3171	róa	s	526
3179	flækja	s	523
3183	varsla	n	522
3184	birta	n	521
3185	gagnstæður	l	521
3186	hald	n	521
3189	laða	s	520
3190	myndband	n	520
3196	aðbúnaður	n	518
3197	aðgreina	s	518
3201	furða	n	517
3205	skuldbinda	s	517
3206	sporna	s	517
3208	framþróun	n	516
3209	íbúðarhúsnæði	n	516
3215	víkka	s	514
3216	óæskilegur	l	513
3218	togstreita	n	512
3219	vængur	n	512
3220	bitna	s	511
3224	stórkostlegur	l	511
3226	verðmætur	l	510
3227	ending	n	509
3229	jafngilda	s	509
3230	samfélagsmiðill	n	509
3236	skjálfti	n	508
3243	náttúrlegur	l	505
3248	springa	s	504
3250	tvöfalda	s	504
3253	herða	s	503
3259	meðvitund	n	502
3266	ritaður	l	501
3270	eftirfylgni	n	500
3272	skírskotun	n	500
3273	skjár	n	500
3274	endurbót	n	499
3275	forvitnilegur	l	499
3277	óánægja	n	499
3278	sannfæring	n	499
3284	sár	l	498
3285	örlítill	l	498
3287	árgangur	n	497
3290	ræna	s	497
3291	seljandi	n	497
3292	stækkun	n	497
3293	afnám	n	496
3294	ávísun	n	496
3299	staðsetja	s	496
3303	kólna	s	495
3304	sannleikur	n	495
3305	sekur	l	495
3306	sjálfvirkur	l	495
3309	hold	n	494
3311	ör	l	494
3312	galdur	n	493
3314	öflun	n	492
3316	leiðbeina	s	491
3319	smella	s	491
3320	úreltur	l	491
3321	ásættanlegur	l	490
3322	fanga	s	490
3323	framkalla	s	490
3325	minnkaður	l	490
3326	réttilega	a	490
3327	stytting	n	490
3333	nágranni	n	489
3334	skólaganga	n	489
3338	tíðum	a	488
3339	veldi	n	488
3341	hagsbót	n	487
3342	heimsvísa	n	487
3344	máti	n	487
3345	skilmáli	n	487
3347	uppreisn	n	487
3348	áhrifaríkur	l	486
3349	uppkast	n	486
3351	fenginn	l	485
3352	mennta	s	485
3353	metnaðarfullur	l	485
3354	óformlegur	l	485
3358	brún	n	484
3362	einkamál	n	483
3366	sálrænn	l	483
3367	tefja	s	483
3371	skerpa	s	482
3378	þrýsta	s	481
3379	drífa	s	480
3380	flæði	n	480
3381	heimildarmaður	n	480
3382	listaverk	n	480
3385	sérkenni	n	480
3386	upptök	n	480
3390	kostnaðarsamur	l	479
3391	umsvif	n	479
3392	fjölþættur	l	478
3393	flæða	s	478
3394	náttúrulega	a	478
3396	tímamark	n	477
3398	jaðar	n	475
3400	verkaskipting	n	475
3402	frestun	n	474
3403	hversdagslegur	l	474
3405	talning	n	474
3408	réttlætanlegur	l	473
3409	samanlagður	l	473
3410	bindandi	l	472
3411	bókstaflega	a	472
3412	flétta	n	472
3414	lífshættulegur	l	472
3418	hrekja	s	470
3419	styrkleiki	n	470
3421	áþekkur	l	469
3423	megn	n	469
3424	morð	n	469
3426	tilfærsla	n	469
3430	hryggur	n	468
3432	vefja	s	468
3433	ört	a	468
3434	áheyrandi	n	467
3436	sameiginlega	a	467
3437	valinn	l	467
3438	álitaefni	n	466
3440	mannlíf	n	466
3442	næra	s	466
3445	hlaðinn	l	465
3446	innanlands	a	465
3447	samhliða	a	465
3449	áreiðanleiki	n	464
3451	hulinn	l	464
3452	spanna	s	464
3454	vinda	s	464
3458	greindur	l	463
3459	hrifinn	l	463
3462	nútímalegur	l	463
3463	verndun	n	463
3464	áhugamál	n	462
3465	endurkoma	n	462
3466	fórna	s	462
3473	barnalag	n	461
3476	mannfólk	n	461
3481	millibil	n	460
3483	sprunga	n	460
3485	hlýnun	n	459
3488	margþættur	l	459
3493	vista	s	459
3496	gátt	n	458
3497	glöggur	l	458
3500	hvíld	n	457
3503	mótmæli	n	457
3506	stanga	s	457
3507	vegferð	n	457
3508	áskilja	s	455
3511	nútíð	n	455
3512	ritun	n	455
3514	úrkoma	n	455
3515	alltof	a	454
3516	bági	n	454
3518	bresta	s	454
3519	tímasetning	n	454
3520	flóð	n	453
3521	fæði	n	453
3524	toppur	n	453
3525	upptekinn	l	453
3527	svolítill	l	452
3530	grundvalla	s	451
3532	löglegur	l	451
3533	samheiti	n	451
3534	upprunalega	a	451
3535	endalok	n	450
3536	gjöra	s	450
3538	kyrr	l	450
3540	spilla	s	450
3542	bið	n	449
3543	greiddur	l	449
3545	laug	n	449
3547	endalaus	l	448
3556	daufur	l	447
3557	gufa	n	447
3559	leyfilegur	l	447
3563	réttmæti	n	446
3564	spilling	n	446
3565	toga	s	446
3566	þjóðlegur	l	446
3567	afgangur	n	445
3569	einstaklega	a	445
3570	innbyrðis	a	445
3573	minnisblað	n	445
3574	saklaus	l	445
3575	alvarleiki	n	444
3577	horf	n	444
3579	hráefni	n	444
3581	reitur	n	444
3582	undra	s	444
3584	reifa	s	443
3587	taug	n	443
3588	yfirstandandi	l	443
3589	afhjúpa	s	442
3593	nálægur	l	442
3594	ósýnilegur	l	442
3595	reiðubúinn	l	442
3597	hugleiða	s	441
3600	nýverið	a	441
3602	ummerki	n	441
3603	afhending	n	440
3605	svipa	s	440
3606	afmörkun	n	439
3613	héðan	a	438
3614	einangraður	l	437
3617	starfsstétt	n	437
3619	sveigjanlegur	l	437
3620	vottur	n	437
3621	ábótavant	l	436
3623	inna	s	436
3625	skyldleiki	n	436
3626	vandasamur	l	436
3627	fátíður	l	435
3628	gildistími	n	435
3629	sérhæfa	s	435
3630	skemma	s	435
3632	umbreyting	n	435
3633	uppskrift	n	435
3634	synja	s	434
3635	tína	s	434
3636	byrði	n	433
3640	önn	n	433
3641	síðastnefndur	l	432
3642	stuttlega	a	432
3644	bernska	n	431
3645	dálítill	l	431
3649	þrenging	n	431
3652	rugla	s	430
3654	svíkja	s	430
3655	undangenginn	l	430
3657	verklegur	l	430
3659	einskorða	s	429
3660	innrás	n	429
3661	landsvísa	n	429
3662	meistari	n	429
3663	vitanlega	a	429
3665	einkennandi	l	428
3667	kulnun	n	428
3670	samkoma	n	428
3671	skara	s	428
3674	afnot	n	427
3675	innfluttur	l	427
3676	nálægð	n	427
3677	sjúkur	l	427
3678	skima	s	427
3689	akstur	n	424
3691	einblína	s	424
3693	flötur	n	424
3694	heiman	a	424
3695	hlúa	s	424
3697	áhugamaður	n	423
3700	gjörð	n	423
3704	dæla	s	422
3710	gleypa	s	421
3715	vagn	n	421
3716	varningur	n	421
3718	vottorð	n	420
3719	ættarnafn	n	420
3720	algildur	l	419
3724	samúð	n	419
3725	stöku	l	419
3726	villa	s	419
3728	aðalhlutverk	n	418
3730	hylja	s	418
3733	styrjöld	n	418
3736	einkar	a	417
3738	frumstæður	l	417
3741	svohljóðandi	l	417
3745	samstæða	n	416
3747	tilskilinn	l	416
3749	einstæður	l	415
3751	vafasamur	l	415
3752	öndverður	l	415
3753	burður	n	414
3755	lífsháttur	n	414
3760	misjafnlega	a	413
3761	óverulegur	l	413
3762	sennilegur	l	413
3763	skelfilegur	l	413
3764	tilhögun	n	413
3769	myndrænn	l	411
3771	viður	n	411
3772	þraut	n	411
3773	afrek	n	410
3774	feta	s	410
3775	fljótandi	l	410
3776	óvirkur	l	410
3777	smiðja	n	410
3780	innlegg	n	409
3784	una	s	408
3788	magna	s	407
3789	óskýr	l	407
3790	samræming	n	407
3791	ársbyrjun	n	406
3792	eindregið	a	406
3794	skýrleiki	n	406
3795	stórfelldur	l	406
3797	þenja	s	406
3798	armur	n	405
3799	eitraður	l	405
3800	heilla	s	405
3801	hvöt	n	405
3802	ofarlega	a	405
3803	óhefðbundinn	l	405
3809	vandkvæði	n	404
3810	alþýða	n	403
3814	mismuna	s	403
3815	náskyldur	l	403
3817	síga	s	403
3820	mótsögn	n	402
3823	einskonar	l	401
3826	söguhetja	n	401
3834	aðsetur	n	399
3835	gróinn	l	399
3837	smekkur	n	399
3842	leikandi	n	398
3844	skjöldur	n	398
3846	gá	s	397
3851	ákjósanlegur	l	395
3854	gagnsær	l	395
3855	hefnd	n	395
3856	samvinnuverkefni	n	395
3857	umhugsun	n	395
3858	áreynsla	n	394
3860	ófær	l	394
3862	ávarpa	s	393
3863	bandamaður	n	393
3865	dagsetning	n	393
3872	endast	s	392
3874	furðulegur	l	392
3875	heilsa	s	392
3877	kvilli	n	392
3878	sífelldur	l	392
3879	tvíþættur	l	392
3884	raki	n	391
3885	sérstæður	l	391
3887	eftirsóknarverður	l	390
3888	fylgismaður	n	390
3889	glöggt	a	390
3890	heilmikill	l	390
3892	mildur	l	390
3895	afrakstur	n	389
3896	áfangastaður	n	389
3897	falskur	l	389
3899	hringrás	n	389
3903	óreglulegur	l	389
3905	tvímælalaust	a	389
3906	þrá	n	389
3908	afköst	n	388
3910	hugarfar	n	388
3915	dýpt	n	387
3916	einsleitur	l	387
3917	eitur	n	387
3918	endurtekning	n	387
3921	íbúðarhús	n	387
3922	rennsli	n	387
3924	svífa	s	387
3926	yfirvofandi	l	387
3927	auður	n	386
3928	ímyndunarafl	n	386
3929	smáatriði	n	386
3930	tæmandi	l	386
3931	bæklingur	n	385
3932	geisa	s	385
3933	greind	n	385
3935	merktur	l	385
3936	náið	a	385
3938	risastór	l	385
3939	seðill	n	385
3940	sígildur	l	385
3941	ásetningur	n	384
3942	bandalag	n	384
3945	framundan	a	384
3946	lagfæra	s	384
3947	prent	n	384
3949	öndun	n	384
3951	hegða	s	383
3952	heyja	s	383
3955	lof	n	383
3956	spjalla	s	383
3957	aldinn	l	382
3958	aur	n	382
3959	biðtími	n	382
3961	gjalda	s	382
3965	minnkandi	l	382
3967	umræðuefni	n	382
3968	gildismat	n	381
3969	kippa	s	381
3973	fyrst	c	380
3976	menningarheimur	n	380
3982	ósamræmi	n	379
3984	snúningur	n	379
3985	verðandi	l	379
3991	meðför	n	378
3992	nærtækur	l	378
3993	smá	l	378
3997	félagsskapur	n	377
4003	tilgreindur	l	377
4004	yfirfærsla	n	377
4006	endir	n	376
4008	hæfa	s	376
4010	margfalt	a	376
4013	tölulegur	l	376
4014	umbúð	n	376
4015	aðför	n	375
4016	gaumur	n	375
4019	rakur	l	375
4020	röksemd	n	375
4024	hraða	s	374
4025	játning	n	374
4026	kapp	n	374
4027	samþættur	l	374
4028	áhald	n	373
4030	forystumaður	n	373
4031	klár	l	373
4032	ættaður	l	373
4035	fjölbreytilegur	l	372
4036	fullgildur	l	372
4043	undanfarið	a	372
4045	vist	n	372
4046	ömurlegur	l	372
4048	glíma	n	371
4052	opnun	n	371
4053	vitur	l	371
4054	vænlegur	l	371
4055	ákall	n	370
4056	hræðilegur	l	370
4057	hræðsla	n	370
4059	timbur	n	370
4060	unglingsár	n	370
4061	ætlaður	l	370
4063	grín	n	369
4067	tímatal	n	369
4068	tvítugur	l	369
4069	varp	n	369
4070	bakki	n	368
4071	fagaðili	n	368
4072	nægjanlega	a	368
4073	samsvörun	n	368
4077	endurminning	n	367
4078	endurreisn	n	367
4079	fleygja	s	367
4082	lokaorð	n	367
4083	rökréttur	l	367
4084	sjálfgefinn	l	367
4086	hlutskipti	n	366
4087	hræða	s	366
4090	verksmiðja	n	366
4091	afsökun	n	365
4092	endurskipulagning	n	365
4093	formgerð	n	365
4094	klæði	n	365
4096	minniháttar	l	365
4097	umgangast	s	365
4101	leggur	n	364
4102	lykilorð	n	364
4103	reyndur	l	364
4105	fyrirhuga	s	363
4106	hálfgerður	l	363
4112	unninn	l	363
4115	áhrifaþáttur	n	362
4116	áhöfn	n	362
4117	heimkynni	n	362
4119	hugmyndafræðilegur	l	362
4120	magnaður	l	362
4121	samfella	n	362
4125	heppinn	l	361
4126	kröftugur	l	361
4130	ör	n	361
4131	afdráttarlaus	l	360
4135	leiðangur	n	360
4137	sjálf	n	360
4138	viðtakandi	n	360
4141	hækkaður	l	359
4142	kall	n	359
4143	neyðarástand	n	359
4144	umheimur	n	359
4145	upprunninn	l	359
4146	afsláttur	n	358
4149	megináhersla	n	358
4150	núlifandi	l	358
4151	óendanlegur	l	358
4152	skipulagning	n	358
4153	tímalengd	n	358
4155	ás	n	357
4157	frumsýna	s	357
4159	inntaka	n	357
4161	lífskjör	n	357
4164	samanlagt	a	357
4167	eldast	s	356
4171	ungbarn	n	356
4173	fyrirgefa	s	355
4175	höfnun	n	355
4176	synjun	n	355
4183	umfjöllunarefni	n	354
4185	einlægur	l	353
4186	endurheimta	s	353
4190	nánd	n	353
4192	ókunnugur	l	353
4193	ósannur	l	353
4197	villa	n	353
4199	forveri	n	352
4200	girða	s	352
4205	mönnun	n	352
4206	stuðningsmaður	n	352
4209	þýðingarmikill	l	352
4210	áþreifanlegur	l	351
4211	einkennilegur	l	351
4212	eyðing	n	351
4213	hefna	s	351
4214	hey	n	351
4217	kvenlegur	l	351
4219	misræmi	n	351
4221	kvænast	s	350
4222	rækilega	a	350
4223	samstarfsfólk	n	350
4229	forgrunnur	n	349
4230	kveðja	n	349
4231	kærleiki	n	349
4232	langmestur	l	349
4243	auður	l	347
4250	bjartsýnn	l	346
4251	gamanleikur	n	346
4252	keppinautur	n	346
4253	skorinn	l	346
4260	minnihluti	n	345
4261	óheppilegur	l	345
4263	sæll	l	345
4264	tíska	n	345
4265	upplausn	n	345
4267	niðurlag	n	344
4268	ríma	s	344
4271	vantraust	n	344
4272	viðfang	n	344
4273	áminning	n	343
4277	gullinn	l	343
4278	keðja	n	343
4281	þögull	l	343
4285	niðurbrot	n	342
4286	plan	n	342
4288	smásaga	n	342
4289	þróaður	l	342
4290	annmarki	n	341
4291	herma	s	341
4292	ómetanlegur	l	341
4294	yfirfæra	s	341
4296	blómstra	s	340
4297	dafna	s	340
4299	funda	s	340
4300	hrífa	s	340
4309	hýsa	s	339
4317	dramatískur	l	338
4318	gangandi	l	338
4319	hóf	n	338
4320	langstærstur	l	338
4322	notagildi	n	338
4323	rökstuddur	l	338
4324	samofinn	l	338
4325	sjónrænn	l	338
4327	þorri	n	338
4328	fróður	l	337
4329	innsæi	n	337
4331	máltíð	n	337
4333	ósáttur	l	337
4335	slasaður	l	337
4337	aðskilja	s	336
4339	hamingjusamur	l	336
4342	oddur	n	336
4344	eftirfylgd	n	335
4345	frost	n	335
4349	kanna	n	335
4353	ósanngjarn	l	335
4356	vinnuálag	n	335
4358	drjúgur	l	334
4361	ímyndaður	l	334
4362	leiðandi	l	334
4365	óskiljanlegur	l	334
4367	tvímæli	n	334
4371	festa	n	333
4374	tímafrekur	l	333
4375	útlimur	n	333
4377	afrit	n	332
4380	bani	n	332
4383	hirða	s	332
4387	slakur	l	332
4388	varamaður	n	332
4391	framlenging	n	331
4392	gerður	l	331
4395	lágmarka	s	331
4396	skyndilegur	l	331
4397	tvöfalt	a	331
4399	ökumaður	n	331
4406	auðugur	l	329
4407	dyggð	n	329
4409	næsta	n	329
4411	tól	n	329
4412	uppgangur	n	329
4417	framarlega	a	328
4420	trúverðugleiki	n	328
4421	viðnám	n	328
4425	bráðna	s	327
4426	býli	n	327
4431	myrða	s	327
4432	ræta	s	327
4433	rökræða	n	327
4436	varðveittur	l	327
4437	framganga	n	326
4438	frjór	l	326
4443	viðgerð	n	326
4447	ásökun	n	325
4450	forráðamaður	n	325
4451	fyrirheit	n	325
4454	málstaður	n	325
4455	reisn	n	325
4456	troða	s	325
4458	ávarp	n	324
4462	samhæfing	n	324
4463	sjálfstraust	n	324
4464	sómi	n	324
4466	verðugur	l	324
4468	fagstétt	n	323
4469	farartæki	n	323
4471	heilsutengdur	l	323
4474	íbúafjöldi	n	323
4476	samtíð	n	323
4478	særa	s	323
4481	beyging	n	322
4486	milliganga	n	322
4488	seta	n	322
4489	snjall	l	322
4490	eftirsóttur	l	321
4491	fæla	s	321
4492	hleðsla	n	321
4493	hægð	n	321
4498	uppfærsla	n	321
4499	vinnudagur	n	321
4500	þarfur	l	321
4502	brúa	s	320
4503	depurð	n	320
4504	fráleitur	l	320
4506	karlmennska	n	320
4508	smávaxinn	l	320
4509	þvinga	s	320
4515	forvitni	n	319
4516	fræðasvið	n	319
4517	fyrirferðarmikill	l	319
4520	persónulega	a	319
4526	skólastig	n	319
4528	tækjabúnaður	n	319
4529	villandi	l	319
4530	vöktun	n	319
4533	ávinna	s	318
4536	sorglegur	l	318
4537	sverja	s	318
4539	ævinlega	a	318
4540	hamla	n	317
4542	hrökkva	s	317
4546	áróður	n	316
4547	bjartsýni	n	316
4551	herja	s	316
4552	lóðréttur	l	316
4553	mannfjöldi	n	316
4554	meginhluti	n	316
4555	óöryggi	n	316
4559	axla	s	315
4565	samhljómur	n	315
4567	blekking	n	314
4570	margoft	a	314
4571	myndefni	n	314
4574	starfsheiti	n	314
4575	tilstilli	n	314
4576	blær	n	313
4579	kærlega	a	313
4580	trúverðugur	l	313
4582	þannig	l	313
4587	hraustur	l	312
4588	jafnmikill	l	312
4593	verndandi	l	312
4594	hlutastarf	n	311
4595	kúgun	n	311
4596	leitarvél	n	311
4598	rólega	a	311
4599	ræðustóll	n	311
4602	þrengsli	n	311
4603	afbrigðilegur	l	310
4605	endurreisa	s	310
4606	hávær	l	310
4607	hika	s	310
4610	nafngift	n	310
4611	nefndur	l	310
4612	sena	n	310
4613	allmikill	l	309
4616	giska	s	309
4617	illska	n	309
4619	lenging	n	309
4620	ljá	s	309
4621	óstöðugur	l	309
4622	óviss	l	309
4624	vanræksla	n	309
4626	almennilega	a	308
4627	hella	n	308
4628	horfinn	l	308
4629	hótun	n	308
4630	leki	n	308
4631	letur	n	308
4633	orka	s	308
4634	ófullkominn	l	308
4636	sjálfboðaliði	n	308
4637	vísir	n	308
4640	heill	n	307
4642	sannfærandi	l	307
4644	þröskuldur	n	307
4645	dýpka	s	306
4647	láréttur	l	306
4648	lesskilningur	n	306
4649	námsárangur	n	306
4650	perla	n	306
4651	smávægilegur	l	306
4653	þykkt	n	306
4654	þyngja	s	306
4656	bústaður	n	305
4657	dularfullur	l	305
4662	myndarlegur	l	305
4670	hóta	s	304
4679	fylling	n	303
4681	heildrænn	l	303
4683	innkaup	n	303
4685	samnefndur	l	303
4692	uppnám	n	303
4693	þungt	a	303
4694	athæfi	n	302
4696	eftirminnilegur	l	302
4698	iðka	s	302
4711	innbyggður	l	301
4712	mistaka	s	301
4714	sannreyna	s	301
4716	skarpur	l	301
4717	undirlag	n	301
4719	velgengni	n	301
4720	þakklátur	l	301
4725	tryggur	l	300
4727	ástæðulaus	l	299
4728	bágur	l	299
4731	handleiðsla	n	299
4732	hlynntur	l	299
4733	hugrekki	n	299
4734	óalgengur	l	299
4735	ótvírætt	a	299
4737	tortryggni	n	299
4738	viðmót	n	299
4741	gjaldskrá	n	298
4744	myndataka	n	298
4745	nútímamaður	n	298
4746	sanngirni	n	298
4748	umlykja	s	298
4749	yfirheyrsla	n	298
4750	aflétta	s	297
4752	fjarvera	n	297
4755	náungi	n	297
4757	orrusta	n	297
4758	samsteypa	n	297
4761	endalaust	a	296
4762	feðgar	n	296
4769	útvíkka	s	296
4773	gæfa	n	295
4774	húmor	n	295
4775	hörmung	n	295
4778	ólíkindi	n	295
4780	réttlæting	n	295
4781	ritmál	n	295
4782	skarð	n	295
4783	teikn	n	295
4784	temja	s	295
4785	tæknilega	a	295
4787	veitingastaður	n	295
4792	mælanlegur	l	294
4793	óræður	l	294
4796	valdamikill	l	294
4797	vitrænn	l	294
4798	þurrkur	n	294
4799	fordæma	s	293
4800	frágangur	n	293
4801	hefta	s	293
4802	hornsteinn	n	293
4803	hvarf	n	293
4806	meiriháttar	l	293
4807	miðbik	n	293
4808	missir	n	293
4810	ráðgera	s	293
4811	sorp	n	293
4813	þjóðfélagshópur	n	293
4815	eyði	n	292
4818	hagsmunaárekstur	n	292
4820	kæling	n	292
4821	óskráður	l	292
4822	rofna	s	292
4826	yfirburður	n	292
4828	þroskaður	l	292
4831	fjölþjóðlegur	l	291
4832	fylgjandi	n	291
4834	samkennd	n	291
4835	skekkja	n	291
4836	svik	n	291
4844	efnisatriði	n	290
4847	harla	a	290
4848	jafnaldri	n	290
4852	kæla	s	290
4854	samskonar	l	290
4855	sjónarsvið	n	290
4857	slaka	s	290
4858	sníða	s	290
4859	stífur	l	290
4860	stormur	n	290
4861	tunna	n	290
