English,Icelandic
contribution ratio,Framlegðarhlutfall rekstrar
controllability,stjórnhrifum
controlling,eftirlit
controls,stýribúnað
convenience,þægindi
convenient,handhægur
conversational agent,talþjónn
conversation,samræða
conversion costs,vinnslukostnaðar
convex,kúptur
co-occurrence features,grenndarþættir
cooking,eldamennskuna
cook,matreiða
coolant,frostlögur
cool,svalur
cooperation,samhjálp
coordinate,samhæfa
coordination,samhæfingu
co-payment,meðlag
copy fee,útskriftargjald
coreference resolution,samvísunartúlkun
coreference resolution,tilvísanagreining
corkscrew,tappatogari
cork,tappi
cornea,hornhimnu
cornea of the eye,glæra
corpus linguistics,gagnamálfræði
corpus linguistics,gagnamálvísindi
corpus,málheild
correctional boot camp,betrunarvist
correspond,stemma
corrode,tærist
corvidae,hröfnungar
cosset,eftirlæti
cost-allocation base,skiptigrunnur kostnaður
cost component,kostnaðarliða
costcutting,kostnaðarlækkanir
cost driver rate,kostnaðarhlutfall
cost drivers,kostnaðarvaki
cost drivers,kostnaðarvaldur
cost function,kostnaðarfall
cost,kostnaður
cost object,kostnaðarberi
cost of capital,ávöxtunarkrafa
cost of goods manufactured,(KFV) kostnaðarverð framleiddra vara
cost of goods sold during the month,vörunotkun mánaðarins KSV
cost of goods sold,kostnaðarverð seldra vara KSV
cost of goods unsold,kostnaðarverð óseldra vara á lager
cost of materials,efniskostnaður
cost pool,kostnaðarsafn
costs,stærðir
costs,útgjöld
cost,útgjöld
cost-volume-profit,núllpunktsgreining
coterie,klíku
cotinga,skartar
cottage cheese,kotasæla
counsellor,ráðgjafi
countenance,ásýnd
count,greifi
countless,ótal
count,telst
courage,kjarkur
courier,fylgdarmaður
court,hirð
court of law,dómstólunum
cover,afleysing
coverage,efnisnotkun
cover,hjúpa
cover,hylja
cover the basics,stiklað á stóru
cover,þekja
covet,girnast
cower,grúfa
cower,híma
cower,hnipra
cower,hnipra sig
cow eyes,eins og barðir hundar
cowgirl,kúrekastelpa
coyote,sléttuúlfur
crabbed,önugur
crabby,önugur
crab,krabbi
crab,skógarepli
crackle,snarka
crafting,föndur
cramp,krampi
crampons,mannbroddar
crank,sveifasett
craps,sjö-ellefu
crashed,skollið
crash,skellum
crash,skellur
crater,gígur
crawled,lyppaðist
crawl,skríða
creak,marra
creaky,brakandi
cream,áburður
crease,brot
crease,felling
create art,listsköpun
create,sjóða saman
create,skapa
creation,sköpun
creative,sköpun
creature,skepna
credit,inneign
creditor hierarchy,skuldaröðinni
creditor,lánardrottinn
creep,læðast
cremation oven,líkbrennsluofnsins
crested puffin,topplundi
criminal,afbrotamaður
criminal case,sakamál
criminal prosecution,saksókn
criminal,saknæma
crispbread,hrökkbrauð
crisp,stökkur
crispy,stökkur
criteria,forsendur
critique,gagnrýni
crochet,hekla
crocus,dverglilja
crocus,krókus
croissant,smjördeigshorn
crop,snoðklippa
cross-lingual information retrieval,þvermála upplýsingaheimt
cross-lingual language capabilities,þvermálamöguleikar
cross out,útstrikun
cross validation,krossprófun
crouch,grúfa
crowded,þéttskipaðan
crowd,mannþröng
crowd,mergð
crow,gala
crown,hvirfill
crown,koll
crucial,um að gera
Cruella de Vil,Grimmhildur
crumpet,gerklatti
crush,mala
crush,mannþröng
Crux,Suðurkrossinum
crypto-asset,sýndareigna
cuckoo,gaukurinn
cucumber,agúrka
cucumber,gúrka
cuddle,kúra
cue,stikkorð
culprit,sökudólganir
culprit,sökudolgi
culprit,sökudólgur
cultivate,græða
cunningly,kænlega
cunning,slóttugur
cup noodles,bollanúðlur
curl,lokka
curl up,hnipra sig
curly,hrokkinn
current assets,lausafjármunir
current,núverandi
current ratio,veltufjárhlutfall
current,yfirstadandi
curse,blóta
cursed,formælti
cursory,skjótur
curtain,gluggatjald
curved,bogadregnir
curved,sveigum
cushion,púði
cuss,blóta
customer,kúnni
customer profitability,ábati af viðskiptavinum
customer,viðskiptavinur
customized,sérsníða
cut,hunsa
cutoff rate,ávöxtunarkrafa
cut,saxa
cut,skera
CVP cost-volume-profit analysis,núllpunktsgreining
cyan,blágrænn
cylinder,hólkur
daddy's girl,pabbastelpa
dad joke,fimmaurabrandari
daffodil,páskalilja
dalmatian,dalmatíuhundur
dalmatian pelican,hrokkinkani
damaged,grandað
damage,skemmist
damages,skaðabóta
damnation,glötun
damp,deigan
damselfish,svölusporður
dance,dansiball
dandle,hossa
dandy,pjattrófa
dandy,spjátrungur
dangerous,glæfralegur
dare,áræða
dare,dirfðist
dare,voga
dare,þora
daring,djarft
daring,glæfralegur
daring,kræfur
dark (and suspect) corner,skúmaskot
darling,eftirlæti
darling,heittelskaður
darling,krúttin
darned,ótætis
dash,æða
dash,geysast
data analysis,gagnagreining
data collection,gagnaöflun
data collection,gagnaöflunar
data-directed,neðansækinn
data-driven methods,gagnaaðferðir aðferðir
data-driven methods,gagnastýrðar aðferðir
data-driven system,gagnakerfi
data format,skráarform
data,gagna
data,gögn
data point,athugun
data presentation method,gagnaframsetningaraðferð
data set,gagnasafn
dataset,gagnasafn
date,tímasetningu
dawn,dagrenningar
dawn,dögun
deadlift,dedda
deadlift,réttstöðulyfta
deadline,eindagi
deadline,skilafrestur
deadline,tímamörk
dealings,afskipti
dealings,viðskipti
deal,kljást
deal,tilboð
death,bani
deathly pale,náfölt
Death Valley,Dauðadalurinn
debit,gjaldfæra
debit,staðgreiðsla
debt ratio,skuldahlutfall
debt,skuld
decade,áratugur
decade,tugur
deceitful,svikull
deceive,blekkja
decent,drengilegur
deception,blekkingu
decide,ákveða
decimal,tugabrot
decision,ákvörðun
decision list classifiers,flokkaraskrá
decision-making process,ákvarðanatökulíkön
decision,úrskurðar
deck,þilfar
decline,synja
declining balance depreciation method,hröðunarafskrift
decoder,afkóðari
decoder,afkótari
decorum,háttprýði
decorum,háttvísi
decorum,velsæmi
decrease by how much,dragast mikið saman
dedicate,tileinka
deed,afsal
deed,athafnir
deed,gjörð
deem,talin
deem,telst
deep generation,djúp málgerving
deep parser performance evaluation,mat á frammistöðu djúpþáttara
deep parsing,djúp þáttun
deep parsing,full þáttun
deep-rooted,rótgróinn
deep-seated,rótgróinn
deer,dýr
default surcharge,vanefndaálag
default,vanskil
defeated,unninn
defect,ágalli
defect,annmarkana
defect,bresti
defect percentage,hlutfall galla
defendant,stefndi
defense,vörn
deferred payment,selt er útí reikning
deficit,hallann
define,afmarka
degree,menntun
dejected,angurvært
dejected,eins og barðir hundar
dejected,eins og barinn hundur
delay,töf
delay,töfinni
deliberate,spekúlera
delicacies,kræsing
delicacy,krás
delicately,fimlega
delicate,viðkvæm
delicious,gómsætur
delicious,ljúffengur
delightful,heillandi
delight,unaður
delimit,afmarka
delist,afskrá
delivers to,berist til (b.t.)
delivery delay,afhendingardrátt
delivery delay,stöðvunarrétt
delivery time,afhendingartími
delivery,útburður
delivery,útkeyrsla
deltoid muscle,axlarvöðvi
demand,krefst
demands,kröfur
demarcate,marki
demeanour,fas
demerit,misgerð
demon,ári
denotation,aðalmerking
denotation,merkingarkjarni
denotation,umtak
denote,aðalmerkja
denote,hrámerkja (x denotes y)
denouement,málavextir
denouement,útslag
dense,þéttur
dental calculus,tannsteinn
dental plaque,tannsýkla
dent,beygla
departing,fráfarandi
dependency bank,venslabanki
dependency grammar,venslamálfræði
dependent personality disorder,hæðispersónuleikaróskun
dependent variable,háða breytan
depend on,ráðast af því
deposited,innborguð
deposit,innborgun
deposit,innlögð
deposit,innlögn
deposits,innborganir
depreciation,afskrift
depreciation,fyrning
depreciation of office equipment,afskriftir skrifstofutækja
depressed,niðurdreginn
deprivation,missis
deprive,sviptir
derived,afleidd
desire,löngun
desktop,borðtölvur
despair,örvænta
despise,fyrirlíta
despite,enda þótt
despite,þrátt fyrir
despond,æðrast
dessert,ábætir
dessert,ábætisréttur
dessert,desert
dessert,eftirmatur
dessert,eftirréttur
detail,smáatriði
detective,spæjari
deterioration,rýrni
determined by,ráðast af því
determined,greinist
deuce,daus
deuce,tvistur
devastating,niðurbrjótandi
developmental process,þroskaleið
development,framköllun
development sets,þróunarlistar
develop,móta
deviation,frávik
deviation,skekkju
deviation,skekkjur
devil,ári
devoicing,afröddun
dextrose,glúcósi
dextrose,þrúgusykur
diagonally,á ská
diagonally,skáhallt
diagonally,skáhalt
dialectical behaviour therapy,díalektísk atferlismeðferð
dialectical materialism,þráttarefnishyggja
dialect,mállýska
dialects,framburðartilbrigði
dialects,mállýskur
dialogue management,samræðustjórnun
dialogue manager,samræðustjóri
dialogue modeling,gerð samræðulíkana
dialogue,samræða
dialogue system,samræðukerfi
dial,skífa
dial tone,sónn
diamond,tígullaga
diaper,bleyja
diarhhea,drulla
diarhoea,niðurgang
diarrhea,lífsýki
diarrhea,niðurgangur
diarrhea,ræpa
dice,brytja
dice,saxa
dick,deli
dick ring,typpahringur
dick test,lókaprof
dictate,ráðskast
dictionary,orðalista
didn't like the look of it,leist ekki á blikuna
die,geispa golunni
die like flies,hrynja
diet,kúr
difference,muni
differential analysis,jaðargreining
different,ólíkur
difficult,örðugt
dig,grafa
digital humanities,stafræn hugvísindi
digital library,stafrænt bókasafn
dignity,reisn
dike,díki
dilettante,fagurkeri
dilettante,viðvaningslega
diligence,elju
diligence,starfsemi
dimension,stærð
diminish,rýri
ding,beygla
dinghy,jullur
dingy bar,búlla
din,skruðningur
dip,dúfa
dip,dýfa
diphone concatenation system,tvístæðu samtengingarkerfi
diphone,tvístæða
diphthongization,tvíhljóðun
diphthong,tvíhljóð
dip,ídýfa
direct costs,beinn kostnaður
directing,leiðtogahlutverk
directing,stjórnun
direction,stefnu
direct labor costs,beinn launakostnaður
direct labor hours,beinar vinnustundir
direct labour,bein vinna
directly,rakleiðis
direct materials,bein efni
direct materials,hráefni
direct relatives,í beinan legg
dire straits,ýtrasta neyð
disability,örorku
disabled,óvígur
disambiguate,einræða
disambiguation,einræðing
disbursement,útborganir
discerned,greinist
discharge,hleypa af
disciple,fylgismaður
disciple,lærisveinn
discipline,aga
disciplined,agaður
discipline,greinin
disclose,afhjúpa
disclosure,uppljóstrun
discomfort,óþægindi
disconnect,aftengið ykkur
discount,áföllum
discount,afslattur
discounting,afvöxtun
discount rate,ávöxtunarkrafa
discourse and dialogue,orðræða og samræða
discourse capabilities,samræðuhæfileikar
discourse corpora,orðræðumálheild
discourse modeling,gerð orðræðulíkana
discourse,orðræða
discourse,orðræðum
discourse,samræður
discriminate,mismuna
discriminative tagger,aðgreiningarmarkari
disc,skífa
discussion,reifun
discussion-worthy,umtalsvert
disguise,dulargervi
disgusting,andstyggðar
disgust,viðbjóð
dish towel,viskustykki
dishwashing,uppþvotta
disobey,óhlýðnast
disposable funds,ráðstöfunarfé
disposable income,ráðstöfunartekjur
disposal,förgun
disposal,umráð
dispose of,farga
dispute,ágreiningur
dispute,véfengja
dispute,þrætti
dissection class,krufningarkúrsarnir
dissent,ágreiningur
dissenter,ættleri
dissolution,lútandi
distance,fjarska
distance,tilsýndar
distant sound,ómur
distinguish,auðkenna
distort,skekkja
distraction,leiðsla
distribute,útdeildi
distribution,útburður
district attorney,saksóknari
district,héraði
district,umdæmi
disturbance,þytur
disturb,bær
ditch,díki
ditch,skrópa
dive bar,búlla
dive,búlla
dive,dúfa
dive,kafa
divide and conquer,deilum og drottnum
divided,greinist
dividend,arður
document image analysis,greining skjalmyndar
documents,skjöl
dodge,forðist
Dodger,Hrappur
do,gegna
dolphinfish,gullmakríll
domain,lén
domain,umdæmi
dominance,yfirburða
dominant,markaðsráðandi
dominant traits,ríkjandi eiginleikar
domineering,ráðríkur
dominion,stjórnsemi
dominion,umdæmi
done correctly,rétt úr garði gerð
done for now,búið í bili
donkey,asni
door lock,skrá
dopamine,dópamín
dope,dópa
dorado,gullmakríll
dormitory,heimavist
dormitory,stúdentagarður
dormitory,svefnherbergi
dormitory,svefnloft
dormitory,svefnrými
dot,doppa
dot the i's and cross the t's,setja punktinn yfir i-ið
double-jointed,tvennum liðamótum
double-lock,tvílæsti
double pointed knitting needles,fimm prjónar
double pointed knitting needles,sokkaprjónar
doubtful,efablöndnum
doubts,efasemdir
dough,deig
dove,dúfa
dove,friðarsinni
downcast,mæðulega
downcast,mæðulegur
downcast,niðurdreginn
down collection,dúntekja
downhill,hraka
down payment,innborgun
down payment,útborgun
downsides,gallar
do wrong,brjóta af sér
do you wanna join?,viltu vera memm?
dozen,tylft
draft,rissa
drag sth out of,herja e-ð út úr
drama,leiklist
draw a quick breath as when surprised,súpa hveljur
draw one's last,geispa golunni
draw,teyma
dread,fælni
dressing,umbúðir
dried yeast,þurrger
drift,rása
driftwood,rekaviður
drinking straw,sogrör
dripping wet,rennvotur
dripping with sweat,kófsveitta
drive,akstur
drive away,flæma
drive crazy,trylla
drive,heimreið
drive-in theater,útibíó
drivel,heimskuhjal
drivel,kjaftæði
drivel,vitleysa
drivel,þvaður
drivel,þvæla
drivel,þvættinginn
driver,ökuþór
driver,vaki
drive-thru,bílalúga
driveway,heimreið
driving force,drifkrafta
driving under the influence,stútur undir stýri
drizzle,suddi
drizzle,súld
droll,spaugilegur
droop,lygna
drowning in,bólakafi
drowsily,drungalegri
drudgery,at
drunkard,fyllibytta
drunkard,óreglusömum
drunk,Skakkur
drupe,steinaldin
dry,brakandi
dry-cured ham,hráskinka
dry-cured jamón,hráskinka
dsp techniques,stafrænar merkjavinnsluaðferðir
dubious,vafasamur
duck duck goose,hlaupa í skarðið
duck,dúfa
duck,firra
due date,gjalddagi
due diligence specialist,áreiðanleikafræðingur
due diligence survey,áreiðanleikakönnun
dumb,bjálfi
dumbfounded,agndofa
dumb,lúði
dump,haugur
dumping,losun
dune,dúna
dune,sandalda
dune,sandskafl
durable,endingargóður
dust,ryk
dusty,rykföllnum
duvet,sæng
dynamic programming,kvik bestun
dynamic programming,kvikbestun
dynamic programming,kvikleg forritun
dynasty,ættarveldi
dysfunctional family,truflað fjólskyldukerfi
dysgraphia,rithömlun
dysgraphia,skrifblinda
eager,áfjáð
eager,áfjáður
eager,ákaft
eagerness,ákefð
early childhood,frumbernska
early,skjótur
earned,áunnin
earnings per share EPS,hagnaður á hlut
earth,jarðríki
earth's crust,jarðskorpuna
EAR,virkir vextir
easement,ítak
easy-peasy,skítléttur
easy to locate,auðfundið
eating disorder,átröskun
EBITDA earnings before interest taxes depreciation and amortization,hagnaður fyrir fjármunatekjur og fjármagnsgjöld án afskrifta og virðisrýmunar
EBITDA,rekstrarhagnaður fyrir afskriftir
EBIT earnings before interest and taxes,hagnaður fyrir fjármunatekjur og fjármagnsgjöld
EBT earnings before tax,hagnaður fyrir tekjuskatt
echo,bergmála
ecologist,vistfræðingur
economic condition,hagræn staða
economics,hagfræði
economy,efnahagur
ecosystem,vistkerfi
ecstasy,leiðsla
eddy,hringiða
edge,barmur
edge,brún
edge,hjari
edge,jaðar
education,menntun
effective annual rate,virkir vextir
effective interest,virkir vextir
effectiveness,hagkvæmni
effectiveness,markvirkni
effective rate,virkir vextir
effect,verka
efficiency,hagkvæmni
efficiency,skilvirkni
effort,áreynslu
effort,fyrirhöfn
effort,viðleitni
EFF%,virkir vextir
egocentric,sjálfsmiðuð
egotistical,eigingjarnan
elbow,hnippa í
elderberry,ylliber
e-learning environments,fjarnámsumhverfi
e-learning,fjarnám
e-learning,fjarskiptanám
electric power,raforka
electrode,rafskaut
electronic id,auðkenni
electronic,rafeindastýrt
electronic wing,rafeindavængina
elegiac,harmljóðlegur
elevated,upphöfðu
elevator speech,lyfturæða
eliminate,útiloka
elision,brottfall
elliptical,sporöskjulaga
eloquent,mælskur
embedding,greyping
embossed,upphleypt
embroidered,bróderaður
embryo,fósturvísir
embryo,kím
emerged,fram kom
emerge,skila sér
emerging computing paradigms,uppkomandi viðmið í tölvun
emojis,broskallar
emotion,geðshæring
emotion,geðshræringuna
emotion recognition,tilfinningakennsl
emotion,tilfinning
emphasize,árétta
empire,keisaradæmisins
employ,beita við
employ,beitt
emulsifier,ýruefni
enabler,viðhaldari
encode,kóða
encode,kóta
encoder,kóðari
encoder,kótari
encompasses,fela í sér
encouragement,örvun
encroachment,sókn
encryption,dulkóðun
ended,endast
end,endið
ending inventory,lokabirgðir
endocrine disorder,innikirtlasjúkdóm
endorse,mæla með
endorsement,áritun
endorser,ábekingar
end up,ratað
endurance,þol
endure,þola
endurskipulagningar,restructuring
end,þrjóta
energetically,fjörlega
energy accounting,orkubókhald
energy domain,orkusvið
energy efficient,sparneytinn
energy,snerpa
enfold,umfaðma
enforcement,fullnustu
engine oil,smurolía
enigmatic,óræðum
enjoy,njóta
Enska,Islenska
Enska,Íslenska
entangle,flækja
enterprise value,heildarvirði
entertainment,afþreying
enthusiasm,ákafi
enthusiasm,ákefð
entice,lokka
enticing,lokkandi
entirely,alveg
entourage,föruneyti
entrepreneur,athafnamaður
entrusted,háttsettir
entrust with,fela
envelope,umvafðar
envious,öfundsjúk
envy,öfund
envy,öfundarefni
envy,öfundsýki
ephemera,dægurfluga
ephemeral,hverfull
ephemera,maífluga
epileptic fit,flogakasti
epileptic fit,flogaveikikast
equal repayments,jöfnun afborgunum
equation,kennitölur
equipment,aðföng
equipment,áhald
equity,eigið fé
equivalent annual rate,virkir vextir
equivalent costs,jafngildiseiningar
equivalised disposable income,ráðstöfunartekjur á neyslueiningu
era,öld
era,tímabil
erection,reising
erection,uppsetning
erection,uppsláttur
erotic,erótík
error categories,villuflokkar
error corpus,villumálheild
error,skekkja
error,skekkju
error,skekkjur
escape plan,flóttaleiðir
escape,sleppa
escape,slyppu
eschew,forðist
escort,fylgdarmaður
especially,aðallega
especially,einkum
essential,hagnýtur
established,rótgróinn
established,stofnað
estate,bú
estate,jarðareign
estate,landareign
estimate,telst
etiquette,mannasiðir
eucalyptus,myrtusviður
eucalyptus,tröllatré
euphoria,sælukenndin
eurasian teal,urtönd
European Free Trade Association country,EFTA-ríki
evade,komast undan
evaluate,meta
evaluation,mat
even,kvittur
even,meira að segja
even though,enda þótt
even though,þrátt fyrir
evidence,framburður
ewe,rollurnar
exactly,einmitt
exactly,nákvæmlega
exaggerated,ýktur
examination,athugun
examine,virti fyrir sér
example-based translation,dæmabyggð þýðing
example resource exercise,dæmaæfing
excavate,grafa
excellence,ágæti
excellence,yfirburðir
excellent,ágætur
excellent,frábær
excellent,tilvalinn
exception,frávik
excessive,óhóflegt
excessive,óhóflegur
exchange information,skiptast á upplýsingum
exchange of words,orðaskiptin
excitability,ertanleiki
excite,trylla
excrement,saur
excursion,skemmtiferð
excuse,afsökun
Excuse me who are you?,Fyrirgefðu hver ertu?
exhausted look,þreytusvipinn
exhausted,magnþrota
exhaustive,tæmandi
existence,tilvistar
expect,búast
expedite,skjótur
expeditious,skjótur
expenditure,útgjöld
expense item,kostnaðarliða
expenses,útgjöld
expensive,kostnaðarsöm
experiment,fikta
experiment,tilraun
explain,skýrt
exploit,arðdræna
exploits,afrek
exploratory data analysis,gagnakönnun
exploratory expedition,könnunarleiðöngrum
explore,grúska
export,fluttar út
export,útflutning
expose,afhjúpa
exposed persons,áhættuhópi
expound upon,fjölyrða
expression,orðatiltæki
expression,orðtak
expression,svipleiftri
express,orða
extended play,stuttskífa
extensive,víðtæk
extensive,víðtækur
extract,extrakt
extract,unnar
extract,þykkni
extradition,framsal
extremely,ægilegum
extremely,urrandi
extreme weather,veðurofsanum
eyelid,augnalok
eyelid,augnlok
eyeliner,ælæner
fabric,vefnaði
face against,sporna við
face,ásýnd
face,reisn
facility level,fyrirtækjastig
Factor analysis,þáttagreiningu
factoring,vörureikningsveði
fact,staðreynd
fail,bregðist
fail,fall
fail or stop,bregða
failure,bilun
faint,daufur
fainting attack,yfirliðakast
faint,í yfirlið
faint,öngvit
fairness,réttlæta
fair value,sanngjörnu matsvirði
fairy lights,ljósasería
fairy lights,sería
fake news,falsfréttir
fake prayer,uppgerðarbæn
falcon,fálki
fall,bylta
fall,dottnir
fall,hrynja
falls,detta
fame,orðstír
familiar,tamt
family estate,óðalssetur
family gathering,fjölskylduboð
family law claims,sifjaréttarkröfur
family name,ættarnafn
famous last words,fræg andlátsorð
famous last words,fræg síðustu orð
famous,sögufrægur
fanatical,öfgakennda
fare,fæði
farm,býli
fashion model,fyrirsæta
fast,ör
fast,snöggur
fatal blow,banasár
fate,afdrif
fate,örlög
father and son,feðgar
fat sausage,bjúga
fat,sver
fault,ágalli
fault,gallar
favor,bón
favorite,eftirlæti
fearful,smeykur
fear,ógnin
feasibility,hagkvæmni
feature,kenni
feature,sérkennaþáttur
feedback velocity,viðbragðshraði
feed,mata
feeler,antenna
feeler,þreifari
feeling of arrogance,yfirlætistilfinningu
feel,þreifa
female cat,læða
female ghost,skotta
fern,burkni
ferrule,hólkur
fertilizer,áburður
fervor,ákefð
few and far between,ekki á hverju strái
fez,tyrknesk húfa
fiancé,unnusti
fiber,taug
fiber,trefja
fibromyalgia,vefjagigt
fiddle,fikta
fiddle,fitlar
field,geirinn
field trip,skemmtiferð
field trip,vísindaferð
field trip,vísó
fighting game,slagsmálaleik
fight,slagsmál
fight,slást
figurative,fígúratífur
figurative,hlutbundinn
figuratively,bókstaflega
figurative,myndauðugur
figurative,myndrænn
figurative,óeiginlegur
figurative,táknrænn
figurative,yfirfærður
figure of speech,orðtak
figure skating,listskautar
filch,hnupla
filetype,skráargerðir
file,þjöl
filled out,áritað
filling,seðjandi
filter,síur
filth,saur
finances,efnahagur
finances,fjárhagur
financial accounting,fjárhagsbókhald
financial budget,fjárhagsáætlun
financial,fjárhagslegur
financially incapable,ófjárráða
financial situation,afkoma
financial situation,afkomu
find one's way,ratað
fine particles,svifryk
finery,glys
finished,fullunnar
finished,fyrir bí
finished goods,fullbúnar vörur
finished goods inventory,fullunnar birgðir
finished goods inventory,fullunnar vörur
finished goods inventory leftover,kostnaðarverð óseldra vara á lager
finished,yfirstaðinn
finish,endið
finite state machine,endanlegar stöðuvélar
finite-state machine,stöðuvél
finite-state,stöðuferjöld
finite state technology,stöðuvélatækni
finite state transducer,endandleg stöðuferjöld
fire,bál
firecracker,kínverji
firecracker,púðurkerling
fire debris,snark
fire insurance,brunatrygging
fireplace,arinn
fireproof,eldtraustu
fireworks,flugeldar
firework,skoteldur
fireworks,skoteldar
firm,firma
first,á undan
first born,frumburðar
first,fyrst
first,fyrsta
first,fyrstur
fishing village,verstöðvum
fish skin,roð
fistula,pípa
fit,falla
fits exceptionally well,smellpassa
fits like a glove,smellpassa
fits,stemma
fitting room,mátun
fixed costs,fastur kostnaður
fixed costs,fk fastur kostnaður
fixed,fastir
fixed indirect costs,fastur óbk
fixed indirect costs,fastur óbk (óbein kostnaðar)
fixed,óafturkræfur
fixed phrase,orðasamband
fixed phrase,orðtak
fixed tangible assets,varanlegir rekstrarfjármunir
fixing,viðgerðir
FKA New Icelanders,FKA Framtíð
flagstone,hella
flame,ástríða
flame,eldur
flame,logana
flame,logi
flamingo,flæmingi
flamingo,flamingófugl
flamingo,flamingói
flap,brot
flap,slást
flash,flassljós
flash,leiftraði
flash of light,ljósglampa
flask,brúsi
flask,#flaska
flatulence,viðrekstur
flay,flegið
fleece,flíspeysa
fleece jacket,flíspeysa
fleece sweater,flíspeysa
flee,flýr
Flemish,Flæmingi
fleshless,holdlaus
flex,hnyklaði
flexibility,liðleiki
flexible budget,sveigðri áætlun
flexible,skalanlegur
flicker,flökti
flight,flótti
flight time,flugþol
floating,fljótandi
float,sveimi
float,svífa
flock,flokkur
floor pump,standpumpa
floor subsidence,gólfsiginu
floor-to-ceiling,gólfsíðir
flow,flæði
flowing,flæðandi
flow of costs,flæði kostnaðar
fluctuate,sveiflast
fluent,málfimur
fluid,fljótandi
fluid,lögur
flushed,rjóður
foam,froðufellandi
focus,einbeita
focus,einblínum
focus,skerpa
fodder,föðrið
fold,brot
fold the corners to mark one's place in the book,brotið er upp á blað í bók er hætt er lestri
foliage,laufþykkni
follower,fylgdarmaður
following,eftirfarandi
following,eftirtalinna
follows,taka við
fondle,káfa
food,fæða
food,fæði
food,fæðsla
food,matur
food waste,matarleifar
fool around,væflast
fool,bjálfi
fool,lúðó
footpath,troðninga
foppish,spjátrungslegur
fop,spjátrungur
force majeure,sérstók óviðráðanleg atvik
ford,vað
foreclosure,nauðungarsölu
forefather,ái
forefather,forfaðir
foreign language,annars mál
foreign language,L2
foreign language speakers,annars málshafar
foresight,forsjá
for example,svo að dæmi séu tekin
for example,svo dæmi séu tekin
forgetting curve,gleymskuferill
forgiving,sáttfús
for god's sake,í Guðs bænum
formant synthesiser,formandagervill
formation,mótun
formulate,orðuð
forseeable future,ókomin ár
fortition,lokhljóðun
fortunately,sem betur fer
fortunately,sem betur fór
fortune cookie,spádómskaka
forward,áleiðis
forward chaining,framkeðjun
fossil,steinrunninn
foul language,fúkyrði
foul smell,fnykur
foundational,órjúfanlegur
foundation,grundvöllur
fountain,gosbrunnur
fowl,alifugl
fowl,hænsni
foxglove,fingurbjargarblóm
foxglove,fingurbjörg blóm
fraction,brot
frailty,veikleika
framkvæmd,programme
franchising,viðskiptasérleyfi
frantic,æðislegur
frantic,hamslaus
frantic,óður
free and clear,kvaðalausa
free time,tómstundir
freighter,fraktskip
freight,farmur
frenzy,trylltur
frequently visited,fjölsóttum
freshman,busi
freshman,nýnemi
fricativization,önghljóðun
friday,fössari
fried,spælt
friendship,kærleikur
frighten,fæla
frighten off,fælt
frightful,skelfilegt
fringe,hjari
from head to toe,frá hvirfli til ilja
from top to toe,frá hvirfli til ilja
front-end,framendi
frost,frosthörkur
frugal,nægjusamur
fruit iced tea,avaxtaíste
frustrate,hindra
frustrate,kollvarpa
frustrate,ónýta
frustrate,skaprauna
frustrate,svekkja
frustration,ógilding
frustration,ónýting
fry,seiði
fuel efficient,sparneytinn
full parsing,djúp þáttun
full parsing,full þáttun
fully,fyllilega
fumigate,svæla
fuming mad,bálill
functional,vel virk
functioning,starfsemi
function,vörpun
fungal infection,sveppasýking
fun,gríni
fungus gnat,svarðmý
funnel,trekt
funny,spaugilegur
furry,loðinn
fuss,uppistand
fussy eater,gikkur
future competitiveness,framtíðarsamkeppnishæfni
future value,ávöxtun framtíðarvirði fundið
future value,framtíðarvirði
future value,framvirði
FV,framtíðarvirði
gadget,græja
gadget,græjum
gag,kefli
gain,ávinningurinn
gain,fengur
galaxy,stjörnuþokum
gallop,valhopp
gallows,gálgi
gamble,gambla
gamble,spila fjárhættuspil
gang,gengið
gannet,súla
gap,skarð
garment,spjör
garrison,setulið
gas canister,gaskútur
gas tank for the grill,smellugas
gas tank,gaskútur
Gastropoda,snigill
gathering,mannþröng
gather,smala
gauge,mælikvarða
gauze,grisju
gave,lét í té
gawky,rengluleg
gay,hommarnir
Gaza,Gasa
gear,græja
gear,græjur
gearing ratio,langtímaskuldahlutfall
gecko,gekkó
geek,lúði
gel pen,kúlutússpenni
Gemini,Tvíburar
Gemini,Tvíburi
generally,yfirhöfuð
generally,yfirleitt
generation,kynslóð
generator,gjafi
generator,rafall
generator,vaki
generous,gjafmild
generous,göfugmenni
genetic eunuch,erfðageldingur
genocide,helför
gentle breeze,gola
geometry,rúmfræði
germ,gerill
germinate,forrækta
germ,kím
gerontocracy,öldungaræði
gerontocracy,öldungastjórn
gerontocracy,öldungaveldi
gesticulation,handapati
get along,semjið
get a scolding,fá á baukinn
get bent out of shape,fara á límingunum
get,fengnar
get,ná
get on,semjið
get tired,lýjast
get wind of,kemmst á snoðir um
get you in trouble,gæti komið þér í vandræði
ghost,vofa
gibber,bulla
gibbering,kjökrandi
gibberish,bull
gibberish,hrognamál
gibberish,þvogl
gibber,þvogla
gifted,bráðger
gifted craftsman,völundur
gift,gáfa
giggle,flissa
giggling,skríkjandi
gill,tálkn
ginkgo biloba,musteristré
ginseng,ginseng
give a short account of,reifað
give off a pleasant smell,angaði
give or take,til eða frá
gives,vikið að
give,veita
give way,kikna
